Question_ID,Question_Text,Type,Domains,Target_Metric,Modifier_Type,Special_Computation,Options_Summary
B1_2,What negative impacts could the AI system create?,multiselect,"Human, Societal and Environmental Wellbeing",Impact,Standard,N/A,10 options
B1_3,Could the AI system affect employee employment or job roles?,single_select,"Human, Societal and Environmental Wellbeing",Impact,Standard,N/A,3 options
B2_1,Has a Human Rights Impact Assessment (HRIA) been completed?,yes_no,Human-centred Values,Control_Effectiveness,Standard,N/A,2 options
B2_2,Rate the AI system's impact on the following dimensions:,multi_rating,Human-centred Values,Impact,Standard,N/A,3 categories
B2_3,Were diverse perspectives included in the AI system's design and development?,yes_no_with_options,Human-centred Values,Impact,Standard,N/A,1 options
B3_1,Has bias testing been conducted on the AI system?,yes_no_with_options,Fairness,Impact,Standard,N/A,1 options
B3_2,Could the AI system discriminate against specific groups?,yes_unknown_no_with_options,Fairness,Impact,Standard,N/A,2 options
B4_1,Has a Privacy Impact Assessment (PIA) been completed?,yes_no,Privacy Protection and Security,Control_Effectiveness,mixed,N/A,2 options
B4_2,Does the AI system use personal information?,yes_no_with_options,Privacy Protection and Security,Impact,Standard,N/A,1 options
B4_3,What security measures are in place to protect personal information?,multiselect,Privacy Protection and Security,Control_Effectiveness,negative,N/A,5 options
B5_1,Has the system been tested for reliability?,yes_no_with_rating,Reliability and Safety,Control_Effectiveness,negative,N/A,1 options
B5_2,Is there a process to disengage the system if issues arise?,yes_no,Reliability and Safety,Control_Effectiveness,mixed,N/A,2 options
B5_3,Does the AI system operate in a high-risk environment?,yes_no_with_options,Reliability and Safety,Impact and Likelihood,dual,N/A,1 options
B6_1,"How transparent is the AI solution's operation? (1 = Very Low, 5 = Very High)",rating_scale,Transparency and Explainability,Control_Effectiveness,negative,N/A,Rating scale (1-5)
B6_2,"Can the system explain its outputs or decisions? (1 = Very Low, 5 = Very High)",rating_scale,Transparency and Explainability,Control_Effectiveness,negative,N/A,Rating scale (1-5)
B6_4,Are there known limitations to the system's explainability?,yes_no_with_text,Transparency and Explainability,Control_Effectiveness,Standard,N/A,2 options
B7_2,How quickly can a decision be challenged or reviewed?,single_select,Contestability,Control_Effectiveness,mixed,N/A,6 options
B8_2,Have clear roles and responsibilities been established for AI oversight?,yes_no,Accountability,Control_Effectiveness,mixed,N/A,2 options
B8_3,Have staff been trained on AI system use and limitations?,yes_no,Accountability,Control_Effectiveness,mixed,N/A,2 options
B8_4,Are safeguards in place to prevent overreliance on AI outputs?,yes_no_with_options,Accountability,Control_Effectiveness,negative,N/A,1 options
