Domain,Question ID,Question,Explanation,Q_Foundational,Q_Developing,Q_Established,Q_Leading
Continuous Improvement & Assurance,CA-03,How does the organisation benchmark its AI governance and practices against external standards and frameworks?,"Context
Benchmarking enables organisations to measure their AI maturity and compliance against recognised best practices. Without external comparison, governance may stagnate or diverge from evolving standards. This question assesses whether the organisation regularly compares its AI policies and processes against frameworks such as ISO/IEC 42001, NIST AI RMF, OECD AI Principles, or Australia’s AI Ethics Principles.Example: A council conducts an annual self-assessment against the NIST AI RMF and Australia’s Voluntary AI Safety Standard, identifying improvement priorities for integration into its AI Governance Roadmap.",No benchmarking is performed against external AI standards or frameworks.,Occasional comparisons occur but without structure or follow-through.,Regular benchmarking aligns AI governance with recognised frameworks and informs improvement planning.,"Continuous benchmarking integrates global standards into AI policies, supported by external validation and transparent reporting."
Continuous Improvement & Assurance,CA-04,How does the organisation engage in external review or independent assurance of its AI governance practices?,"Context
Independent assurance provides credibility and objectivity in evaluating AI governance maturity. Without external review, blind spots or biases in internal processes may persist. This question assesses whether the organisation seeks independent validation of its AI frameworks, risk management, and compliance controls through external audits, peer reviews, or certifications.Example: A council commissions an annual independent AI governance review by a third-party assessor to validate alignment with ISO/IEC 42001 and national AI ethics guidelines, incorporating findings into its continuous improvement roadmap.",No external assurance or independent review of AI governance is conducted.,External reviews occur occasionally but lack structure or formal follow-up.,"Independent reviews are conducted regularly, with findings informing policy and framework updates.","External assurance is embedded into AI governance cycles, supported by transparent reporting and certification against recognised standards."
Continuous Improvement & Assurance,CA-05,How does the organisation capture lessons learned and embed continuous learning into AI governance?,"Context
Capturing lessons learned from AI projects, incidents, and audits ensures that mistakes are not repeated and that practices evolve over time. Without a structured learning process, insights remain siloed and improvement opportunities are lost. This question assesses whether the organisation systematically records, analyses, and integrates lessons into governance frameworks, training, and risk management processes.Example: A council maintains an “AI Lessons Register” documenting post-project reviews, audit outcomes, and near-miss events, which feed into policy updates and staff training programs every six months.",Lessons from AI projects or incidents are not recorded or shared.,Lessons are occasionally documented but rarely acted upon or shared.,Lessons learned are systematically captured and integrated into governance updates and staff training.,"Continuous learning is embedded organisation-wide, supported by feedback loops, shared registers, and governance reviews driving measurable improvement."
Continuous Improvement & Assurance,CA-06,How does the organisation track external trends and emerging best practices in AI governance?,"Context
AI technologies and governance expectations evolve rapidly. Without monitoring external trends, the organisation risks falling behind regulatory, ethical, or technological developments. This question assesses whether the organisation actively tracks emerging best practices, research, and standards to adapt its AI governance framework and maintain leadership in responsible AI adoption.Example: A council’s AI Governance Team subscribes to government and standards body updates, participates in national AI working groups, and incorporates emerging global best practices into policy reviews and staff briefings.",The organisation does not monitor external AI governance or industry developments.,Some monitoring occurs but is informal and not integrated into policy updates.,Emerging trends and best practices are regularly reviewed and used to inform AI governance improvements.,"A formal process continuously scans, evaluates, and integrates emerging global AI best practices, standards, and research into policy, training, and strategy."
Continuous Improvement & Assurance,CA-07,"How does the organisation use metrics, benchmarking, and feedback to drive continuous improvement in AI governance?","Context
Metrics and benchmarking translate insights into measurable progress. Without defined indicators and feedback loops, the organisation cannot assess whether improvements are effective or sustained. This question evaluates whether the organisation uses quantitative and qualitative measures—such as KPIs, benchmarking scores, and stakeholder feedback—to guide strategic enhancements in AI governance, ethics, and compliance.Example: A council compiles quarterly AI performance dashboards, combining KPI trends, user feedback, and benchmarking results against ISO 42001 principles to identify priority areas for policy refinement and training.",No metrics or feedback are used to measure AI governance improvement.,Some metrics or feedback mechanisms exist but are inconsistently applied.,"Regular metrics, feedback, and benchmarking are used to inform AI governance improvement plans.","A data-driven improvement program integrates metrics, feedback, and benchmarking into governance dashboards and continuous enhancement cycles."
Continuous Improvement & Assurance,CA-08,"How does the organisation maintain continuous assurance through review, re-assessment, and re-certification of AI governance?","Context
Continuous assurance ensures that AI governance remains effective as systems evolve and new regulations emerge. Without structured re-assessment, previously certified or compliant frameworks may degrade over time. This question evaluates whether the organisation conducts periodic reviews, internal and external re-assessments, and formal re-certification to sustain trust and accountability in AI operations.Example: A council conducts biennial AI Governance re-assessments using internal audit tools and engages an external assessor every three years to validate continued compliance with ISO/IEC 42001 and national AI assurance frameworks.",No ongoing assurance or re-assessment of AI governance occurs after initial implementation.,"Periodic reviews occur, but processes for re-assessment or certification are informal or irregular.",Regular internal reviews and re-assessments verify AI governance effectiveness and compliance.,"Continuous assurance integrates internal monitoring, scheduled re-certification, and independent verification of ongoing AI governance maturity."
Culture & Capability,CC-01,"How does the organisation promote awareness and understanding of AI opportunities, risks, and governance across staff?","Context
AI awareness enables employees to recognise both the benefits and challenges of responsible AI adoption. Without organisational understanding, staff may misuse AI tools, overlook risks, or resist innovation. This question assesses whether the organisation promotes AI literacy through education, communication, and engagement initiatives across all levels.Example: A council conducts quarterly “AI Awareness Sessions” for staff and managers, explaining key AI concepts, organisational policies, and examples of ethical and unsafe AI practices.","Little or no awareness of AI governance, opportunities, or risks across staff.",Basic awareness exists through informal discussions or isolated communications.,"Structured awareness programs communicate AI principles, policies, and governance requirements.","AI literacy and governance awareness are embedded enterprise-wide through campaigns, leadership endorsement, and ongoing communication."
Culture & Capability,CC-02,How does the organisation provide staff training and upskilling to support responsible AI adoption?,"Context
Building AI capability ensures that employees can use, manage, and oversee AI technologies safely and effectively. Without targeted training, staff may lack the knowledge to identify risks, interpret AI outputs, or apply governance requirements. This question assesses whether the organisation delivers structured training and upskilling programs that develop technical, ethical, and operational AI competencies.Example: A council delivers a tiered AI training program: introductory awareness for all employees, advanced technical modules for data teams, and governance workshops for leadership and risk staff.",No formal AI-related training or skill development programs exist.,Some AI or digital skills training occurs but is ad hoc or unaligned with governance objectives.,"Structured AI training programs address technical, ethical, and governance skills across key staff groups.","Organisation-wide AI upskilling integrates into professional development plans, supported by leadership and continuous learning pathways."
Culture & Capability,CC-03,How does the organisation embed ethical AI competence and responsible decision-making skills across staff?,"Context
Embedding ethical competence ensures employees can recognise and address ethical challenges in AI use. Without this, decisions may prioritise efficiency or innovation over fairness, transparency, or accountability. This question assesses whether the organisation integrates ethical reasoning, governance awareness, and scenario-based learning into staff training and decision-making processes.Example: A council conducts interactive workshops where staff analyse real AI case studies involving bias, privacy, and explainability challenges to develop critical thinking and ethical decision-making skills.",Ethical considerations in AI decision-making are absent or left to individual discretion.,"Some staff receive ethics-related training, but content is generic or inconsistent.","Ethical AI principles are embedded into staff training, supported by role-specific guidance and decision frameworks.","Ethical competence is an organisational capability, reinforced through continuous learning, leadership modelling, and AI ethics performance measures."
Culture & Capability,CC-04,How does the organisation’s leadership foster a culture of responsible AI innovation and governance?,"Context
Leadership plays a critical role in shaping organisational culture around AI use. Without visible support and clear messaging, responsible AI practices may be viewed as optional rather than essential. This question assesses whether leaders actively promote ethical AI adoption, model responsible behaviour, and integrate governance into innovation strategies.Example: A council’s executive team publicly endorses its Responsible AI Charter, regularly communicates progress on AI governance initiatives, and recognises staff who demonstrate ethical innovation practices.",Leadership involvement in AI governance or culture-building is minimal.,"Some leaders support AI initiatives, but governance messaging is inconsistent.",Leadership actively endorses responsible AI principles and integrates them into business planning.,"Responsible AI culture is driven from the top through consistent messaging, accountability, and recognition of ethical innovation."
Culture & Capability,CC-05,How does the organisation encourage cross-functional collaboration and knowledge sharing in AI projects?,"Context
Effective AI governance requires collaboration across technical, operational, legal, and ethical domains. Without structured communication and shared learning, teams may operate in silos, increasing risks of bias, duplication, or misalignment. This question assesses whether the organisation fosters collaboration and knowledge exchange between diverse disciplines involved in AI development, deployment, and oversight.Example: A council’s AI Governance Committee includes representatives from IT, Legal, Risk, and Community Engagement who meet monthly to share insights, review projects, and align on governance priorities.",AI projects operate in isolation with minimal collaboration or knowledge exchange.,Some cross-functional communication occurs but lacks structure or continuity.,"Formal collaboration mechanisms, committees, and documentation enable regular AI knowledge sharing.","Collaboration is embedded in AI governance, supported by shared platforms, multi-disciplinary teams, and continuous learning cycles."
Culture & Capability,CC-06,How does the organisation foster innovation and responsible experimentation in AI?,"Context
A culture of responsible experimentation encourages innovation while managing risk. Without structured guidance, staff may either avoid using AI due to uncertainty or adopt it recklessly without proper oversight. This question assesses whether the organisation provides safe, supported environments—such as sandboxes or pilot frameworks—for testing AI ideas in alignment with governance and ethical standards.Example: A council establishes an “AI Innovation Sandbox” where teams can experiment with AI tools under governance oversight, applying clear ethical, privacy, and safety guardrails before production deployment.","AI experimentation occurs informally, without structure or governance oversight.","Some pilot projects are conducted, but risk management and documentation are limited.","Responsible AI experimentation follows structured processes, with defined approval, monitoring, and review.","Innovation is actively encouraged through supported sandboxes, ethical review, and governance-aligned experimentation frameworks."
Culture & Capability,CC-07,How does the organisation measure AI capability and workforce readiness for responsible AI adoption?,"Context
Understanding workforce capability helps identify skill gaps and readiness for responsible AI implementation. Without measurement, organisations may overestimate their preparedness or underinvest in training and governance. This question assesses whether the organisation evaluates AI literacy, technical competence, and governance awareness to guide capability development.Example: A council conducts an annual “AI Readiness Survey” across all departments, assessing AI knowledge, ethical awareness, and confidence in applying governance principles, then tailors training and resource plans accordingly.",AI capability and readiness are not assessed or measured.,Some skill assessments occur informally or within limited teams.,Regular workforce assessments identify AI capability gaps and inform training and resourcing plans.,Continuous AI capability monitoring integrates with HR analytics and organisational planning to drive targeted upskilling and governance improvement.
Culture & Capability,CC-08,How does the organisation embed continuous learning and AI literacy across the workforce?,"Context
Continuous learning ensures staff stay informed about evolving AI technologies, ethical standards, and governance practices. Without sustained education, knowledge quickly becomes outdated, limiting innovation and compliance readiness. This question assesses whether the organisation promotes lifelong AI learning through structured programs, accessible resources, and ongoing reinforcement of responsible AI principles.Example: A council maintains an online “AI Learning Hub” offering short courses, policy updates, and real-world case studies. Staff are encouraged to complete annual AI literacy refreshers as part of mandatory professional development.",AI learning is ad hoc and dependent on individual interest.,"Some ongoing learning occurs, but opportunities are inconsistent or untracked.","Continuous learning is structured through regular training, digital learning platforms, and refresher courses.","Organisation-wide AI literacy is embedded into professional development, supported by adaptive learning and leadership-driven knowledge-sharing initiatives."
Data Stewardship & Security,DS-01,"How does the organisation ensure data used for AI is accurate, complete, and fit for purpose?","Context
AI systems depend on high-quality data. Inaccurate, incomplete, or poorly curated datasets can lead to flawed predictions, unfair outcomes, and reputational harm. This question assesses whether the organisation applies structured processes to validate, cleanse, and monitor data before it is used for AI development or decision-making.Example: A council’s Data Governance Team implements automated validation scripts and manual quality checks before sharing datasets with AI developers, ensuring accuracy, completeness, and relevance to the intended use case.",Data quality is not systematically assessed; errors or gaps are discovered post-deployment.,Some quality checks exist but are manual or inconsistently applied.,"Data validation, cleansing, and review processes ensure datasets meet defined quality standards.","Comprehensive data-quality management uses automated controls, continuous monitoring, and documented data-fitness criteria."
Data Stewardship & Security,DS-02,How are data governance roles and responsibilities defined for AI-related activities?,"Context
Clear data governance roles ensure accountability and consistency across all AI projects. Without defined ownership, data can be mismanaged, creating security gaps, quality issues, and compliance risks. This question assesses whether the organisation has assigned formal responsibilities for managing, approving, and protecting data used in AI systems.Example: A council designates Data Stewards within each department responsible for dataset quality and security. The Chief Data Officer oversees alignment with organisational policies and chairs the Data Governance Committee.",Data management responsibilities are unclear or distributed informally.,Some roles exist but are inconsistently defined or not linked to AI governance.,"Formal data governance roles and responsibilities are defined, assigned, and communicated across departments.","Data governance roles are enterprise-wide, supported by clear accountability frameworks, charters, and performance measures."
Data Stewardship & Security,DS-03,How does the organisation classify and manage data sensitivity for AI systems?,"Context
Data classification ensures that sensitive or confidential information used in AI systems is handled appropriately. Without clear classification rules, AI projects may expose personal or restricted data to unauthorised access or misuse. This question assesses whether the organisation applies consistent data classification and handling procedures aligned with legal, privacy, and information security standards.Example: A council applies a four-tier data classification scheme—Public, Internal, Sensitive, and Confidential—and enforces corresponding access and encryption controls for all AI datasets.",Data used for AI is not classified or handled according to sensitivity.,"Some classification occurs, but practices vary by project or department.",Formal classification levels and handling rules apply consistently to AI data.,"Classification and handling controls are automated, continuously enforced, and aligned with national privacy and security standards."
Data Stewardship & Security,DS-04,How does the organisation control and authorise access to data used in AI systems?,"Context
Access control ensures that only authorised personnel can view or modify data used in AI models. Without strict authorisation measures, sensitive information can be exposed or manipulated, increasing privacy, security, and compliance risks. This question assesses whether data access for AI development and use is governed by role-based permissions, authentication controls, and monitoring processes.Example: A council enforces role-based access control (RBAC) for AI datasets, requiring multi-factor authentication and periodic access reviews by data stewards and system owners.",AI data access is uncontrolled or relies on ad-hoc permissions.,Access controls exist but are inconsistently applied or not regularly reviewed.,"Role-based access and approval processes govern all AI data access, supported by authentication and audit logs.","Automated access management with least-privilege enforcement, continuous monitoring, and integration with identity governance frameworks."
Data Stewardship & Security,DS-05,What security controls protect data used and generated by AI systems?,"Context
Robust data security controls prevent unauthorised access, tampering, or loss of sensitive information used in AI. Inadequate protection exposes the organisation to breaches, manipulation of training data, and reputational harm. This question evaluates whether technical and procedural safeguards—such as encryption, segregation, and monitoring—are applied throughout the AI data lifecycle.Example: A council enforces encryption-at-rest and in-transit for all AI datasets, stores them in segregated environments, and monitors data transfer logs for suspicious activity.",Minimal or inconsistent security measures protect AI data.,Some encryption or security tools are implemented but lack consistent application or monitoring.,"AI data is protected by defined security controls including encryption, access logs, and network safeguards.","Comprehensive, layered data security controls are implemented, automated, and validated through continuous monitoring and testing."
Data Stewardship & Security,DS-06,How does the organisation manage data retention and secure disposal for AI datasets?,"Context
AI datasets often contain sensitive or regulated information that must not be retained longer than necessary. Without defined retention and disposal processes, outdated or redundant data can create unnecessary privacy, compliance, and storage risks. This question assesses whether the organisation applies clear policies for retaining, archiving, and securely destroying AI-related data in accordance with legal and operational requirements.Example: A council enforces a 24-month retention policy for AI training data. Datasets are automatically archived and securely deleted after the retention period, with deletion certificates stored in the governance system.",No formal retention or disposal controls exist for AI data.,Some retention practices exist but are inconsistent or not documented.,"AI data retention and disposal follow formal schedules, with documented procedures and verification.","Automated retention and disposal processes are embedded, auditable, and aligned with legal and ethical requirements."
Data Stewardship & Security,DS-07,How does the organisation ensure AI data handling complies with privacy and data protection obligations?,"Context
AI systems often process personal or sensitive data. Without strong privacy controls, organisations risk breaching legislation, losing public trust, and enabling unintended harm. This question assesses whether privacy-by-design principles, consent management, and legal compliance measures are embedded into AI development and operations.Example: A council integrates Privacy Impact Assessments (PIAs) into its AI project lifecycle, ensuring personal information is minimised, anonymised where possible, and processed in line with the Privacy Act 1988 (Cth) and local data-protection policies.",Privacy obligations are not considered in AI development or data use.,"Some privacy reviews occur, but controls and assessments are inconsistent.",Privacy-by-design practices and PIAs are standard for AI systems handling personal data.,"Comprehensive privacy governance integrates consent, minimisation, and automated compliance monitoring."
Data Stewardship & Security,DS-08,How does the organisation govern third-party data access and sharing for AI systems?,"Context
Third-party data access and sharing introduce significant privacy, security, and ethical risks. Without proper governance, external partners or vendors may mishandle data or breach contractual obligations. This question assesses whether the organisation applies structured controls, agreements, and oversight to manage external data sharing and AI collaborations.Example: A council implements a Third-Party Data Governance Framework requiring all AI vendors to sign data-use agreements, undergo security assessments, and demonstrate compliance with the council’s privacy and ethical standards.","Third-party data access and sharing occur informally, without agreements or oversight.",Some data-sharing agreements exist but lack consistent privacy or security provisions.,"Formal agreements and due diligence govern all third-party AI data sharing, with compliance monitoring in place.","Comprehensive third-party governance integrates risk assessments, contractual controls, and continuous compliance verification."
Fairness & Inclusivity,FI-01,How does the organisation ensure AI systems are designed and implemented to promote fairness and avoid discrimination?,"Context
Fairness ensures AI systems do not produce outcomes that disadvantage individuals or groups based on factors such as gender, race, disability, or socioeconomic status. Without deliberate fairness measures, bias in data or design can lead to inequitable results. This question evaluates whether fairness is embedded across the AI lifecycle—from data collection to deployment and monitoring.Example: A council applies fairness metrics such as demographic parity and equal opportunity to evaluate its AI models, ensuring no demographic group is disproportionately impacted by automated decisions.",Fairness is not considered in AI design or evaluation.,Some fairness considerations exist but are informal or inconsistent.,"Fairness objectives, metrics, and reviews are defined and applied to AI projects.","Fairness is systematically built into AI governance, using measurable indicators, audits, and community consultation."
Fairness & Inclusivity,FI-02,How does the organisation ensure diversity and representativeness in data used for AI systems?,"Context
Diverse and representative data reduces the risk of biased or inaccurate AI outcomes. When datasets lack sufficient coverage of demographic or contextual variation, AI models may underperform for certain groups or produce inequitable results. This question assesses whether the organisation actively sources, evaluates, and maintains diverse datasets reflecting the populations or contexts its AI systems affect.Example: A council reviews all AI training datasets to ensure representation across age, gender, ethnicity, and geography, supplementing underrepresented groups with additional data sources.",Data diversity is not evaluated or managed; datasets reflect existing biases.,Some efforts to improve data diversity exist but are informal or project-specific.,Processes exist to evaluate and enhance dataset representativeness before model training.,"Diversity is a formal requirement for all AI datasets, supported by metrics, audits, and stakeholder input."
Fairness & Inclusivity,FI-03,How does the organisation detect and mitigate bias in AI models and decision-making processes?,"Context
Bias in AI can lead to unfair or discriminatory outcomes that erode trust and expose the organisation to legal or ethical risk. Without proactive detection, biases in data, algorithms, or processes may go unnoticed. This question evaluates whether systematic tools and methods are used to identify, measure, and mitigate bias throughout the AI lifecycle.Example: A council uses bias-detection frameworks such as IBM AI Fairness 360 to analyse model predictions, identifying disparities between demographic groups and retraining models to improve fairness outcomes.",No formal bias detection or mitigation processes exist.,Bias testing occurs sporadically or only after AI deployment.,Structured bias detection and mitigation processes are integrated into AI model development.,"Continuous bias detection, auditing, and mitigation are embedded organisation-wide using standardised tools and metrics."
Fairness & Inclusivity,FI-04,How does the organisation ensure inclusivity and accessibility are embedded into AI system design and deployment?,"Context
Inclusivity and accessibility ensure AI systems can be effectively used and understood by all individuals, including those from diverse backgrounds or with disabilities. Without intentional design, AI may unintentionally exclude or disadvantage specific groups. This question assesses whether inclusive design principles, accessibility standards, and user testing are built into the AI development process.Example: A council designs its AI-powered customer service chatbot following WCAG accessibility guidelines, testing with users from different linguistic and disability backgrounds to ensure equitable interaction.",AI systems are designed without consideration for inclusivity or accessibility.,"Some accessibility or inclusivity checks occur, but they are inconsistent or optional.",Inclusive design principles and accessibility testing are incorporated into AI projects.,"Inclusivity and accessibility are embedded organisation-wide, with continuous testing, community input, and policy integration."
Fairness & Inclusivity,FI-05,How does the organisation consult with stakeholders and communities to ensure fair and inclusive AI outcomes?,"Context
Community and stakeholder consultation ensures AI systems reflect diverse perspectives and align with societal values. Without engagement, AI initiatives risk overlooking the needs or impacts on vulnerable groups. This question evaluates whether stakeholder input is systematically sought, documented, and used to guide ethical and fair AI decision-making.Example: A council holds community forums before deploying an AI resource-allocation model, gathering input from advocacy groups and residents to identify potential equity concerns and adjust model criteria accordingly.",No consultation occurs with stakeholders or communities affected by AI use.,"Some engagement occurs but is limited, informal, or project-specific.",Stakeholder and community consultation is a formal step in AI planning and deployment.,"Ongoing, structured consultation ensures diverse voices continuously shape AI policy, design, and governance."
Fairness & Inclusivity,FI-06,How does the organisation measure and monitor fairness in AI outcomes over time?,"Context
Fairness must be continuously evaluated to ensure AI systems do not unintentionally disadvantage certain groups after deployment. Without ongoing monitoring, models may drift or become biased due to changing data or operational contexts. This question assesses whether fairness metrics and reviews are built into post-deployment monitoring and performance management processes.Example: A council monitors the outcomes of its AI-driven service eligibility tool, comparing decisions across demographics quarterly and adjusting parameters when fairness metrics fall below defined thresholds.",Fairness is not tracked after AI systems are deployed.,Fairness reviews occur occasionally but lack consistency or defined metrics.,Regular fairness monitoring uses defined indicators and comparative analysis across groups.,"Continuous fairness monitoring is automated and integrated into governance dashboards, with corrective actions triggered by thresholds."
Fairness & Inclusivity,FI-07,How does the organisation ensure fairness and inclusivity requirements are applied to procured or vendor-provided AI solutions?,"Context
Vendors supplying AI systems must meet the organisation’s fairness and inclusivity standards. Without clear procurement requirements, external solutions may introduce bias, ethical risks, or non-compliance. This question evaluates whether fairness and inclusivity are embedded into procurement processes, vendor assessments, and contractual agreements for AI products and services.Example: A council includes fairness, bias testing, and explainability requirements in all AI vendor contracts, requiring suppliers to provide evidence of independent fairness audits and demographic performance testing.",AI procurement lacks fairness or inclusivity considerations.,"Some fairness clauses are included in vendor contracts, but enforcement is limited.",Fairness and inclusivity requirements are part of procurement templates and vendor evaluation criteria.,"Procurement processes mandate verifiable fairness testing, audits, and continuous compliance from all AI vendors."
Fairness & Inclusivity,FI-08,How does the organisation review and continuously improve its fairness and inclusivity practices in AI governance?,"Context
Fairness and inclusivity must evolve with societal expectations, new data sources, and emerging regulations. Without regular review, even well-designed frameworks can become outdated or ineffective. This question assesses whether the organisation periodically evaluates its fairness practices, benchmarks performance, and updates policies and models to reflect continuous learning.Example: A council performs annual fairness audits across all AI projects, benchmarks its framework against ISO 42001 and national AI ethics guidelines, and updates its Responsible AI Policy accordingly.",Fairness and inclusivity practices are static and rarely reviewed.,Reviews occur irregularly and are reactive to issues or incidents.,Regular reviews and updates ensure fairness processes stay relevant and effective.,"Continuous improvement is embedded, using metrics, benchmarking, and stakeholder input to refine fairness practices."
